case_id,surveytime,module_end,scales_first,self_first,condition,sex_submit,sex_clicks,gender_submit,gender_clicks,firstord_submit,firstord_clicks,thirdord_submit,thirdord_clicks,natenviy,natcrimy,nateducy,natarmsy,natsci,natfarey,discaffm,posslqy,wrkstat_fulltime,wrkstat_parttime,wrkstat_notatwork,wrkstat_unemployed,wrkstat_retired,wrkstat_school,wrkstat_keephouse,wrkstat_other,wrkstat_other_text,weekswrk,fear_sa,fear_ipv,fear_aqnt,fear_strn,fear_murd,protect_alarm,protect_firearm,protect_knife,protect_mace,protect_taser,protect_whistle,protect_other,protect_other_text,protect_none,viol_throw,viol_push,viol_hit,viol_hitobj,viol_burn,viol_sa,viol_chokedrown,viol_knifegun,viol_stabshot,viol_none,perp_stranger,perp_school,perp_work,perp_neighbor,perp_friend,perp_relative,perp_lover,perp_partner,perp_other,perp_other_text,class,finalter,hispanic_binary,hispanic_detail,hispanic_other_text,white,black,amerind,asianind,chinese,filipino,japanese,korean,vietnamese,otherasian,hawaiian,guamcham,samoan,pacisland,otherrace,otherrace_text,discaff,marhomo,happy,health,mntlhlth,prtypref,prtypref_other_text,polviews,born,parborn,granborn,grade,diploma,coldegree,coldegree_type,earnrs,income06,dwelown,dwelown_other_text,cohort,firstord_fem,firstord_masc,thirdord_fem,thirdord_masc,sex,gender,gender_other_text,arrest,lockedup,rhhwork,famfinan,earnshh,cutahead,volchrty,givchrty,helpaway,carried,talkedto,hrdshp1,hrdshp4,hrdshp5,hrdshp7,partners,sexfreq,sexornt,sexsex18,cisgender,female,male,woman,man,gnlh,trans_direct,trans_indirect,polar1,polar3,crossgen1,crossgen3,notconven1,notconven3,married,fear_avg,protect_count,viol_count,race_count,race_detail,race_gss,goodhealth,health_3cat,educ,inc_cont,age,region_census,region_gss
209,723,no,yes,yes,1,4.4590001,1,2.3789999,1,22.302,3,8.2659998,2,Spending too much,Spending the right amount,Spending too little,Spending too little,Spending the right amount,Spending too little,not very likely,married and living with spouse,no,yes,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,yes,yes,no,no,yes,2 very protective dogs,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Strongly disagree,Pretty happy,Good,5,Democrat,,Moderate,yes,yes,yes,12th,yes,yes,Associate,2,"$50,000-59,999",Own/buying,,1975,5,1,5,1,Female,Woman,,no,no,28,Pool the money,Spouse/partner has higher income,At least once a month,At least once a week,At least once in the past year,At least once in the past year,At least once a month,At least once a week,No,No,Yes,No,1,About once a month,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,4,4,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,3,0,1,White,White,good/excellent,good,14,5.5,39,East North Central,Midwest
210,519,no,yes,yes,1,3.7620001,1,2.645,1,4.427,3,4.697,2,Spending too little,Spending too much,Spending too little,Spending the right amount,Spending the right amount,Spending too little,not very likely,no partner,yes,no,no,no,no,no,no,no,,51,3,1,2,1,2,no,no,no,no,no,yes,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Not too happy,Good,20,Democrat,,Liberal,yes,yes,no,12th,yes,yes,Bachelor's,3,"$90,000-109,999",Own/buying,,1985,5,3,4,2,Female,Woman,,yes,yes,4,,,At least once a month,At least once a month,At least once a month,At least once in the past year,At least once a month,At least once a month,No,No,No,No,1,About once a month,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,2,2,SR conforming,RA conforming,SR conforming,RA conforming,no,1.8,1,0,1,White,White,good/excellent,good,16,10,29,New England,Northeast
211,897,no,no,no,4,69.703003,1,4.3410001,1,6.2059999,2,9.1879997,2,Spending the right amount,Spending too much,Spending too little,Spending the right amount,Spending too little,Spending too little,somewhat likely,no partner,yes,no,no,no,no,no,no,no,,50,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Neither agree nor disagree,Pretty happy,Good,5,Independent,,Moderate,yes,yes,yes,12th,yes,no,,1,"$35,000-39,999",Paying rent,,1983,Not at all,Very,Not at all,Very,Male,Man,,yes,no,15,,,At least once in the past year,Not at all in past year,Not at all in past year,At least once in the past year,At least once in the past year,At least once in the past year,No,No,Yes,No,1,2-3 times a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,no,Not at all afraid,0,0,1,White,White,good/excellent,good,12,3.75,31,East North Central,Midwest
212,502,yes,yes,yes,5,3.9030001,1,3.0910001,1,10.539,2,7.2290001,3,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,living with partner,no,no,no,no,no,no,yes,no,,0,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Fair,7,Democrat,,Extremely liberal,yes,yes,yes,12th,yes,no,,2,"$20,000-22,499",Paying rent,,1983,2,5,2,5,Female,Woman,,yes,yes,7,Pool the money,I have a higher income,At least once in the past year,Not at all in past year,At least once in the past year,Not at all in past year,Not at all in past year,At least once in the past year,Yes,Yes,Yes,No,2,About once a week,"Heterosexual, straight","Some women, mostly men",yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,3,3,SR nonconforming,RA nonconforming,SR nonconforming,RA nonconforming,no,Not at all afraid,0,0,1,White,White,fair/poor,fair/poor,12,2.125,31,South Atlantic,South
213,419,no,yes,yes,1,3.0550001,1,2.24,1,5.4920001,2,6.1430001,2,Spending too much,Spending too little,Spending too little,Spending the right amount,Spending the right amount,Spending too little,not very likely,not living with spouse/partner,yes,no,no,no,no,yes,no,no,,52,5,Not at all afraid,3,5,5,no,no,no,yes,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,yes,Cuban,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,very likely,Agree,Not too happy,Fair,30,Republican,,Moderate,yes,no,no,12th,yes,yes,Bachelor's,1,"$40,000-49,999",Paying rent,,1979,5,1,5,Not at all,Female,Woman,,no,no,4,Keep money separate,I have a higher income,At least once a month,At least once in the past year,At least once in the past year,Not at all in past year,Not at all in past year,At least once a month,No,Yes,Yes,N/A,1,Once or twice,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,4,5,SR conforming,RA conforming,SR conforming,RA conforming,no,3.5999999,1,0,1,White,White,fair/poor,fair/poor,16,4.5,35,South Atlantic,South
214,880,no,yes,no,2,8.0410004,1,4.9489999,1,15.687,2,14.662,2,Spending too little,Spending the right amount,Spending too little,Spending too little,Spending too little,Spending too little,somewhat likely,married and living with spouse,no,no,no,no,yes,no,yes,no,,0,Not at all afraid,Not at all afraid,Not at all afraid,1,1,no,yes,yes,no,no,yes,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly disagree,Pretty happy,Good,0,Democrat,,Slightly liberal,yes,yes,yes,12th,yes,no,,2,"$40,000-49,999",Own/buying,,1947,2,5,2,5,Male,Man,,no,no,9,"Pool some money, keep some separate",Spouse/partner has higher income,At least once in the past year,Not at all in past year,At least once in the past year,At least once in the past year,Not at all in past year,At least once in the past year,No,No,No,No,1,About once a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,3,3,SR conforming,RA conforming,SR conforming,RA conforming,yes,.40000001,3,0,1,White,White,good/excellent,good,12,4.5,67,South Atlantic,South
215,332,no,yes,no,2,3.135,1,2.4200001,1,4.0190001,2,4.2319999,2,Spending the right amount,Spending too little,Spending too little,Spending too little,Spending the right amount,Spending too much,somewhat likely,no partner,yes,no,no,no,no,no,no,no,,52,1,1,Not at all afraid,Not at all afraid,Not at all afraid,yes,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Agree,Pretty happy,Excellent,0,Democrat,,Extremely liberal,yes,yes,yes,12th,yes,yes,Bachelor's,1,"$35,000-39,999",Own/buying,,1974,1,Very,1,Very,Male,Man,,no,no,15,,,At least once in the past year,At least once in the past year,At least once in the past year,Not at all in past year,At least once in the past year,At least once in the past year,No,No,No,No,1,About once a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,5,5,SR conforming,RA conforming,SR conforming,RA conforming,no,.40000001,1,0,1,White,White,good/excellent,excellent,16,3.75,40,Middle Atlantic,Northeast
216,870,no,no,no,4,3.4779999,1,2.51,1,5.3060002,3,11.43,2,Spending too little,Spending the right amount,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,married and living with spouse,no,yes,no,no,no,yes,no,no,,25,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,no,no,no,no,no,,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,,working class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Very happy,Good,0,Independent,,Liberal,yes,yes,yes,12th,yes,yes,Bachelor's,2,"$40,000-49,999",Paying rent,,1987,2,5,2,4,Male,Man,,no,no,8,Keep money separate,Spouse/partner has higher income,At least once a month,Not at all in past year,Not at all in past year,At least once in the past year,At least once in the past year,At least once a month,Yes,No,Yes,No,1,About once a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,3,2,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,0,1,1,White,White,good/excellent,good,16,4.5,27,Pacific,West
217,844,no,yes,no,2,5.2639999,1,4.0669999,1,13.582,2,28.702,2,Spending too little,Spending the right amount,Spending too little,Spending the right amount,Spending the right amount,Spending too much,somewhat likely,married and living with spouse,yes,no,no,no,no,no,no,no,,48,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,yes,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Neither agree nor disagree,Pretty happy,Good,4,Democrat,,Slightly conservative,yes,yes,yes,12th,yes,no,,0,"$30,000-34,999",Own/buying,,1961,Not at all,5,1,4,Male,Man,,no,no,3,Pool the money,I have a much higher income,At least once a month,Not at all in past year,At least once in the past year,Not at all in past year,At least once a month,At least once a month,N/A,No,Yes,N/A,1,2-3 times a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,5,3,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,1,0,1,White,White,good/excellent,good,12,3.25,53,West North Central,Midwest
218,455,no,yes,no,2,4.1160002,1,4.191,1,8.1809998,2,10.003,2,Spending too much,Spending too much,Spending too little,Spending the right amount,Spending too little,Spending the right amount,somewhat likely,no partner,no,no,no,yes,no,no,no,no,,2,Not at all afraid,Not at all afraid,Not at all afraid,1,1,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Agree,Not too happy,Good,0,Independent,,Liberal,yes,yes,yes,12th,yes,yes,Bachelor's,1,"$15,000-17,499",Own/buying,,1962,Not at all,5,Not at all,4,Male,Man,,no,no,4,,,At least once a week,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,No,No,No,No,None,Not at all,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,5,4,SR conforming,RA conforming,SR conforming,RA conforming,no,.40000001,0,0,1,White,White,good/excellent,good,16,1.625,52,East North Central,Midwest
219,295,no,yes,yes,1,3.0810001,1,2.273,0,5.3410001,2,5.9289999,3,Spending too little,Spending the right amount,Spending too little,Spending too much,Spending the right amount,Spending too little,not very likely,no partner,no,no,no,no,no,yes,no,no,,0,Not at all afraid,Not at all afraid,Not at all afraid,2,1,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,no,Not Hispanic,,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,...,somewhat likely,Strongly agree,Pretty happy,Fair,3,Democrat,,Liberal,yes,no,no,12th,yes,no,,4,"$60,000-74,999",Paying rent,,1992,4,1,3,1,Male,Man,,no,no,2,,,At least once a month,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,N/A,N/A,N/A,N/A,None,Not at all,"Heterosexual, straight",None,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,3,2,SR nonconforming,RA nonconforming,SR nonconforming,RA nonconforming,no,.60000002,0,0,1,Other Asian,Another race(s),fair/poor,fair/poor,12,6.75,22,Pacific,West
220,1438,yes,no,no,8,4.5879998,1,3.5710001,2,4.8049998,2,10.071,4,Spending too little,Spending too little,Spending too little,Spending too much,Spending too little,Spending too little,somewhat likely,not living with spouse/partner,yes,no,no,no,no,no,no,no,,52,2,1,1,2,2,yes,yes,yes,yes,yes,yes,yes,hammer,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting better,yes,Mexican,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,...mexican,somewhat likely,Strongly agree,Pretty happy,Fair,0,Independent,,Moderate,yes,yes,yes,12th,yes,no,,1,"$25,000-29,999",Paying rent,,1981,3,3,5,1,Female,Woman,,no,no,10,Pool the money,Spouse/partner has no income,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,No,No,No,No,1,About once a week,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,Not at all polar,4,SR conforming,RA conforming,SR nonconforming,RA conforming,no,1.6,7,0,1,Some other race,Another race(s),fair/poor,fair/poor,12,2.75,33,West South Central,South
221,1266,yes,no,no,8,4.0749998,1,2.4119999,1,164.43201,2,10.563,3,Spending the right amount,Spending too much,Spending too little,Spending too much,Spending too little,Spending the right amount,somewhat likely,no partner,no,yes,no,no,no,no,no,no,,0,Not at all afraid,Not at all afraid,1,1,1,no,no,yes,no,no,no,no,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,,working class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Not too happy,Good,28,Independent,,Moderate,yes,yes,yes,12th,yes,yes,Bachelor's,2,"$15,000-17,499",Own/buying,,1986,2,4,2,4,Male,Man,,no,no,5,,,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,Not at all in past year,At least once a month,N/A,No,No,No,1,Once or twice,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,2,2,SR conforming,RA conforming,SR conforming,RA conforming,no,.60000002,1,1,1,White,White,good/excellent,good,16,1.625,28,South Atlantic,South
222,457,no,yes,no,2,5.0489998,1,4.6279998,1,4.79,2,15.826,2,Spending the right amount,Spending the right amount,Spending the right amount,Spending the right amount,Spending the right amount,Spending the right amount,not very likely,no partner,yes,no,no,no,no,no,no,no,,50,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,yes,yes,yes,no,no,yes,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Neither agree nor disagree,Very happy,Excellent,1,Republican,,Slightly conservative,yes,yes,yes,12th,yes,no,,1,"$60,000-74,999",Own/buying,,1968,1,5,Not at all,Very,Male,Man,,no,no,2,,,At least once in the past year,Not at all in past year,Not at all in past year,At least once in the past year,Not at all in past year,At least once in the past year,No,No,No,No,11-20,4 or more times a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,4,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,no,Not at all afraid,4,0,1,White,White,good/excellent,excellent,12,6.75,46,East North Central,Midwest
223,1153,no,no,yes,3,2.4909999,1,2.6470001,1,7.7350001,3,5.1570001,2,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,not living with spouse/partner,yes,no,no,no,no,no,no,no,,2,Not at all afraid,Not at all afraid,Not at all afraid,3,3,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,lower class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Excellent,2,Democrat,,Slightly liberal,yes,yes,yes,11th,yes,no,,1,"$12,500-14,999",Paying rent,,1987,2,5,2,4,Male,Man,,yes,yes,3,"I manage money, give to spouse/partner",I have a higher income,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,Yes,Yes,Yes,Yes,1,2-3 times a month,Bisexual,"Some men, mostly women",yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,3,2,SR conforming,RA conforming,SR conforming,RA conforming,no,1.2,0,0,1,White,White,good/excellent,excellent,11,1.375,27,East North Central,Midwest
224,264,no,no,no,4,2.6630001,1,2.319,1,3.7049999,2,5.9180002,2,Spending too little,Spending too little,Spending too little,Spending the right amount,Spending too little,Spending too much,not very likely,not living with spouse/partner,yes,no,no,no,no,no,no,no,,48,2,Not at all afraid,1,2,2,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Good,22,Democrat,,Extremely liberal,yes,yes,yes,12th,yes,yes,Bachelor's,1,"$12,500-14,999",Paying rent,,1980,4,1,5,Not at all,Female,Woman,,yes,yes,6,Keep money separate,Spouse/partner has higher income,At least once a month,At least once a month,At least once in the past year,At least once in the past year,At least once in the past year,At least once a week,Yes,Yes,Yes,No,1,2-3 times a month,"Heterosexual, straight","Some women, mostly men",yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,3,5,SR conforming,RA conforming,SR conforming,RA conforming,no,1.4,0,0,1,White,White,good/excellent,good,16,1.375,34,Pacific,West
225,792,yes,yes,no,6,-99,-99,1.983,1,4.303,2,3.6429999,2,Spending the right amount,Spending too little,Spending too little,Spending the right amount,Spending the right amount,Spending the right amount,not very likely,married and living with spouse,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,yes,yes,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,yes,Cuban,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Excellent,3,Democrat,,Slightly liberal,yes,no,no,12th,yes,yes,Bachelor's,2,"$75,000-89,999",Own/buying,,1963,Not at all,Very,Not at all,Very,Male,Man,,no,no,2,Pool the money,I have a much higher income,At least once in the past year,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,No,No,No,No,1,2-3 times a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,2,0,1,White,White,good/excellent,excellent,16,8.25,51,South Atlantic,South
226,674,no,no,no,4,6.7550001,2,6.204,1,9.8920002,2,12.954,2,Spending too little,Spending the right amount,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,married and living with spouse,no,yes,no,no,no,no,no,no,,40,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Good,0,Democrat,,Liberal,yes,yes,no,12th,yes,yes,Graduate or Professional,2,"$60,000-74,999",Own/buying,,1941,Not at all,Very,Not at all,Very,Male,Man,,no,no,9,"I manage money, give to spouse/partner",I have a much higher income,At least once a month,Not at all in past year,Not at all in past year,At least once in the past year,At least once in the past year,At least once a month,No,No,No,No,None,Not at all,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,yes,Not at all afraid,0,0,1,White,White,good/excellent,good,20,6.75,73,South Atlantic,South
227,417,no,no,yes,3,3.5869999,1,2.6440001,1,5.6420002,4,4.54,2,Spending too little,Spending the right amount,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,living with partner,yes,no,no,no,no,no,no,no,,50,Not at all afraid,1,1,2,1,no,no,no,no,no,no,no,,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,,middle class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Good,5,Democrat,,Extremely liberal,yes,yes,no,12th,yes,yes,Bachelor's,3,"$50,000-59,999",Paying rent,,1982,1,5,2,5,Male,Man,,yes,no,3,"Pool some money, keep some separate",We have about the same income,At least once a month,At least once in the past year,At least once in the past year,At least once in the past year,At least once a month,At least once a month,Yes,,,,1,About once a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,4,3,SR conforming,RA conforming,SR conforming,RA conforming,no,1,0,2,1,White,White,good/excellent,good,16,5.5,32,Middle Atlantic,Northeast
228,351,no,yes,yes,1,3.293,2,2.1359999,1,4.6020002,2,3.427,2,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,no partner,no,yes,no,no,no,yes,no,no,,6,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,2,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Strongly agree,Pretty happy,Fair,2,Democrat,,Slightly liberal,yes,yes,no,12th,yes,no,,1,"$8,000-9,999",Paying rent,,1984,2,4,2,4,Male,Man,,no,no,30,,,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,Not at all in past year,At least once in the past year,Yes,Yes,Yes,No,1,2-3 times a month,Bisexual,"Some men, mostly women",yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,2,2,SR conforming,RA conforming,SR conforming,RA conforming,no,.40000001,0,0,1,White,White,fair/poor,fair/poor,12,.89999998,30,Pacific,West
229,438,no,yes,no,2,2.4170001,1,2.131,1,4.2160001,2,6.6230001,3,Spending too little,Spending the right amount,Spending the right amount,Spending the right amount,Spending too little,Spending the right amount,not very likely,no partner,no,no,no,yes,no,no,no,no,,20,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,no,yes,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting worse,no,Not Hispanic,,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,...,not very likely,Agree,Pretty happy,Good,10,Democrat,,Liberal,yes,no,no,12th,yes,yes,Bachelor's,0,"$25,000-29,999",Own/buying,,1953,4,2,4,2,Female,Woman,,no,no,5,,,Not at all in past year,Not at all in past year,At least once in the past year,At least once in the past year,At least once in the past year,At least once a week,No,No,Yes,No,1,About once a month,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,2,2,SR conforming,RA conforming,SR conforming,RA conforming,no,Not at all afraid,1,0,1,Chinese,Another race(s),good/excellent,good,16,2.75,61,Middle Atlantic,Northeast
230,511,yes,no,no,8,4.1939998,1,4.1830001,1,3.9960001,2,6.1430001,2,Spending too much,Spending too little,Spending too little,Spending the right amount,Spending the right amount,Spending too much,somewhat likely,married and living with spouse,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,1,3,1,yes,yes,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Strongly disagree,Pretty happy,Good,29,Republican,,Conservative,yes,yes,yes,12th,yes,yes,Bachelor's,2,"$110,000-129,999",Own/buying,,1977,Not at all,5,1,5,Male,Man,,no,no,3,Pool the money,I have a higher income,At least once in the past year,At least once a week,At least once in the past year,At least once in the past year,Not at all in past year,At least once in the past year,No,No,No,No,1,About once a week,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,5,4,SR conforming,RA conforming,SR conforming,RA conforming,yes,1,2,0,1,White,White,good/excellent,good,16,12,37,West South Central,South
231,416,no,yes,no,2,3.5650001,1,2.704,1,5.5999999,2,6.7610002,2,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending too little,very likely,no partner,no,yes,no,no,no,no,no,no,,40,Not at all afraid,Not at all afraid,Not at all afraid,1,1,no,no,yes,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Excellent,0,Independent,,Extremely liberal,yes,yes,yes,12th,yes,no,,0,"$10,000-12,499",Paying rent,,1995,2,5,2,5,Male,Man,,no,no,50,,,At least once a month,Not at all in past year,At least once in the past year,At least once in the past year,Not at all in past year,At least once a month,No,No,N/A,N/A,1,2-3 times a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,3,3,SR conforming,RA conforming,SR conforming,RA conforming,no,.40000001,1,0,1,White,White,good/excellent,excellent,12,1.125,19,New England,Northeast
